# SNAP pin export table
#
# Product:	Subset_S1A_IW_GRDH_1SDV_20160909T101448_20160909T101513_012974_01487C_E55B_Orb_NR_Cal_Spk_TC
# Created on:	Thu Feb 20 14:54:20 SGT 2020

Name	X	Y	Lon	Lat	Color	Label	Desc
forest_1_TL	244.3562995636603	3638.8700249591784	-70.67647884574258	-12.872484398590942	java.awt.Color[r=0,g=255,b=0]	forest_1_TL	
forest_1_BR	540.5549392419634	3949.460220057401	-70.64987086922673	-12.90038519052638	java.awt.Color[r=0,g=255,b=0]	forest_1_BR	
forest_2_TL	1163.8741665104171	4478.78544494696	-70.59387715035265	-12.94793528450521	java.awt.Color[r=0,g=255,b=0]	forest_2_TL	
forest_2_BR	1304.5501334350556	4595.547653968504	-70.58124001323299	-12.95842421220237	java.awt.Color[r=0,g=255,b=0]	forest_2_BR	
forest_3_TL	2769.8869939302094	3916.6604407847335	-70.44960656341634	-12.897438736222743	java.awt.Color[r=0,g=255,b=0]	forest_3_TL	
forest_3_BR	2973.7956146453507	4010.884119355702	-70.43128914036112	-12.90590299328137	java.awt.Color[r=0,g=255,b=0]	forest_3_BR	
water_1_TL	765.2629170677392	4538.327673059917	-70.62968500813228	-12.95328405386165	java.awt.Color[r=0,g=0,b=255]	water_1_TL	
water_1_BR	772.8741642992245	4555.901593653805	-70.62900127816036	-12.95486274600879	java.awt.Color[r=0,g=0,b=255]	water_1_BR	
water_2_TL	896.5707743178355	4633.389839455544	-70.61788942262301	-12.961823633563121	java.awt.Color[r=0,g=0,b=255]	water_2_TL	
water_2_BR	920.9803844280541	4650.56463120933	-70.61569667003887	-12.96336647135652	java.awt.Color[r=0,g=0,b=255]	water_2_BR	
water_3_TL	1046.236505185021	4716.1962952183385	-70.60444472126832	-12.96926226404667	java.awt.Color[r=0,g=0,b=255]	water_3_TL	
water_3_BR	1066.404147590627	4750.317725681292	-70.60263303112656	-12.972327444296758	java.awt.Color[r=0,g=0,b=255]	water_3_BR	
water_4_TL	1155.9413380735787	4794.722453727882	-70.59458976845576	-12.9763163888859	java.awt.Color[r=0,g=0,b=255]	water_4_TL	
water_4_BR	1185.110926987254	4814.607253862399	-70.5919694197005	-12.97810267087415	java.awt.Color[r=0,g=0,b=255]	water_4_BR	
water_5_TL	1314.3416600327473	4858.426714650588	-70.58036042543323	-12.98203904001094	java.awt.Color[r=0,g=0,b=255]	water_5_TL	
water_5_BR	1342.7500268599251	4880.256493689463	-70.57780845842146	-12.984000042426898	java.awt.Color[r=0,g=0,b=255]	water_5_BR	
water_6_TL	1379.4000538686523	3949.638458600064	-70.57451613047893	-12.90040120196709	java.awt.Color[r=0,g=0,b=255]	water_6_TL	
water_6_BR	1384.5730789551744	3974.8486520439037	-70.57405142972888	-12.90266587217571	java.awt.Color[r=0,g=0,b=255]	water_6_BR	
water_7_TL	1234.4234024118632	4119.049932983093	-70.58753960466333	-12.915619693641439	java.awt.Color[r=0,g=0,b=255]	water_7_TL	
water_7_BR	1247.1314075173577	4126.2161754061235	-70.58639802514163	-12.916263448151271	java.awt.Color[r=0,g=0,b=255]	water_7_BR	
water_8_TL	1404.658463506843	3814.3881207673985	-70.57224712893587	-12.88825145740135	java.awt.Color[r=0,g=0,b=255]	water_8_TL	
water_8_BR	1410.754037969862	3836.211157659098	-70.5716995541653	-12.89021185415992	java.awt.Color[r=0,g=0,b=255]	water_8_BR	
water_9_TL	2147.418217973667	5167.091189720581	-70.50552388494923	-13.00976684157295	java.awt.Color[r=0,g=0,b=255]	water_9_TL	
water_9_BR	2162.505935349036	5184.99702116166	-70.50416853223714	-13.01137534977879	java.awt.Color[r=0,g=0,b=255]	water_9_BR	
mines_1_TL	993.8283040801762	4844.840262024256	-70.60915263007489	-12.980818548205821	java.awt.Color[r=255,g=0,b=0]	mines_1_TL	
mines_1_BR	1004.9177196467062	4852.111212135496	-70.60815645092535	-12.981471708767321	java.awt.Color[r=255,g=0,b=0]	mines_1_BR	
mines_2_TL	1029.323831926682	4861.8056208151975	-70.60596401255665	-12.982342572316067	java.awt.Color[r=255,g=0,b=0]	mines_2_TL	
mines_2_BR	1037.9483568988508	4873.494412577769	-70.60518925829658	-12.98339259434539	java.awt.Color[r=255,g=0,b=0]	mines_2_BR	
mines_3_TL	1089.5819480555365	4881.599043855356	-70.60055093388557	-12.984120645760271	java.awt.Color[r=255,g=0,b=0]	mines_3_TL	
mines_3_BR	1093.9391071376158	4883.604105065751	-70.60015952362569	-12.98430076347336	java.awt.Color[r=255,g=0,b=0]	mines_3_BR	
mines_4_TL	1106.6957878821995	4911.668086863559	-70.59901357149694	-12.986821793851583	java.awt.Color[r=255,g=0,b=0]	mines_4_TL	
mines_4_BR	1112.4489284274168	4917.475244563771	-70.5984967580886	-12.98734345970352	java.awt.Color[r=255,g=0,b=0]	mines_4_BR	
mines_5_TL	1244.955806239508	5095.843105524022	-70.58659346272964	-13.00336651727315	java.awt.Color[r=255,g=0,b=0]	mines_5_TL	
mines_5_BR	1262.870355786872	5111.937551848241	-70.58498417136299	-13.0048123059854	java.awt.Color[r=255,g=0,b=0]	mines_5_BR	
mines_6_TL	1284.154546668753	5067.487361539446	-70.58307217996506	-13.00081927745176	java.awt.Color[r=255,g=0,b=0]	mines_6_TL	
mines_6_BR	1300.0928883617744	5087.784779177047	-70.58164041437043	-13.00264262550096	java.awt.Color[r=255,g=0,b=0]	mines_6_BR	
mines_7_TL	1518.76977031352	5106.803766208119	-70.56199633583634	-13.004351130174808	java.awt.Color[r=255,g=0,b=0]	mines_7_TL	
mines_7_BR	1536.6243015434593	5131.267645284126	-70.56039243600688	-13.006548757823092	java.awt.Color[r=255,g=0,b=0]	mines_7_BR	
mines_8_TL	1692.9733566656942	5205.693317568686	-70.54634736141948	-13.0132345297175	java.awt.Color[r=255,g=0,b=0]	mines_8_TL	
mines_8_BR	1723.824274031911	5226.19406664127	-70.54357597635956	-13.01507614334028	java.awt.Color[r=255,g=0,b=0]	mines_8_BR	
mines_9_TL	1867.0842381451512	5312.73353296172	-70.53070671482303	-13.0228501158678	java.awt.Color[r=255,g=0,b=0]	mines_9_TL	
mines_9_BR	1884.667293532053	5330.440797180403	-70.52912720208347	-13.024440786476559	java.awt.Color[r=255,g=0,b=0]	mines_9_BR	
mines_10_TL	1790.930700434721	5339.6655130967265	-70.53754770350953	-13.02526945680649	java.awt.Color[r=255,g=0,b=0]	mines_10_TL	
mines_10_BR	1811.489294428029	5362.283519042627	-70.53570089358911	-13.02730126685024	java.awt.Color[r=255,g=0,b=0]	mines_10_BR	
